opportunity_id,customer_id,product_id,opportunity_name,stage,amount,probability,close_date,created_date,opportunity_type,region,sales_rep,lead_source,competitor
OPP-000066,CUST-000152,PROD-000016,Company V152 - Product P,Negotiation,846565.59,37,2024-03-30,2023-11-24,Upsell,Latin America,Rep_10,Marketing,Competitor A
OPP-000067,CUST-000540,PROD-000003,Company T540 - Product C,Prospecting,66295.78,14,2026-01-13,2025-07-17,New Business,North America,Rep_49,Referral,
OPP-000068,CUST-000284,PROD-000016,Company X284 - Product P,Qualification,75306.83,66,2025-02-04,2024-08-25,New Business,EMEA,Rep_13,Marketing,Competitor C
OPP-000069,CUST-000776,PROD-000011,Company V776 - Product K,Closed Won,967504.76,32,2025-11-04,2025-05-24,Upsell,EMEA,Rep_34,Partner,Competitor C
OPP-000070,CUST-000042,PROD-000002,Company P42 - Product B,Proposal,548317.58,86,2023-05-23,2023-03-08,New Business,APAC,Rep_41,Referral,Competitor B
OPP-000071,CUST-000781,PROD-000009,Company A781 - Product I,Proposal,709214.35,91,2023-07-13,2023-02-20,Renewal,APAC,Rep_2,Web,Competitor A
OPP-000072,CUST-000482,PROD-000009,Company N482 - Product I,Negotiation,399969.03,78,2023-10-12,2023-09-06,New Business,APAC,Rep_15,Sales,Competitor B
OPP-000073,CUST-000570,PROD-000007,Company X570 - Product G,Closed Lost,434798.46,18,2025-03-20,2024-11-21,Cross-sell,EMEA,Rep_15,Web,Competitor C
OPP-000074,CUST-000305,PROD-000007,Company S305 - Product G,Negotiation,848336.14,54,2025-05-23,2025-02-26,New Business,APAC,Rep_35,Marketing,Competitor A
OPP-000075,CUST-000567,PROD-000017,Company U567 - Product Q,Proposal,684071.85,37,2025-12-30,2025-09-29,New Business,North America,Rep_12,Referral,
OPP-000076,CUST-000569,PROD-000015,Company W569 - Product O,Qualification,608613.68,89,2024-10-29,2024-05-24,Cross-sell,EMEA,Rep_12,Sales,Competitor A
OPP-000077,CUST-000667,PROD-000015,Company Q667 - Product O,Closed Won,987561.08,49,2024-09-28,2024-07-25,Renewal,Latin America,Rep_39,Referral,Competitor B
OPP-000078,CUST-000357,PROD-000009,Company S357 - Product I,Negotiation,736112.07,55,2024-06-06,2024-04-30,New Business,EMEA,Rep_18,Web,
OPP-000079,CUST-000352,PROD-000018,Company N352 - Product R,Negotiation,693178.32,22,2024-08-20,2024-03-13,Renewal,EMEA,Rep_19,Web,
OPP-000080,CUST-000197,PROD-000017,Company O197 - Product Q,Qualification,661620.03,79,2025-09-02,2025-06-09,Renewal,APAC,Rep_2,Sales,
OPP-000081,CUST-000169,PROD-000016,Company M169 - Product P,Closed Won,906991.54,95,2024-11-09,2024-07-11,New Business,EMEA,Rep_32,Marketing,
OPP-000082,CUST-000226,PROD-000011,Company R226 - Product K,Closed Lost,169850.37,61,2025-09-01,2025-06-19,Upsell,North America,Rep_30,Sales,
OPP-000083,CUST-000615,PROD-000007,Company Q615 - Product G,Negotiation,449414.69,98,2024-08-26,2024-03-18,New Business,APAC,Rep_18,Referral,Competitor B
OPP-000084,CUST-000724,PROD-000008,Company V724 - Product H,Closed Lost,403111.23,60,2024-07-25,2024-04-03,Upsell,EMEA,Rep_35,Sales,
OPP-000085,CUST-000515,PROD-000002,Company U515 - Product B,Closed Lost,606204.13,78,2025-08-26,2025-07-27,Renewal,APAC,Rep_9,Partner,
OPP-000086,CUST-000797,PROD-000014,Company Q797 - Product N,Qualification,810339.26,82,2025-02-03,2024-08-20,New Business,Latin America,Rep_29,Sales,Competitor C
OPP-000087,CUST-000182,PROD-000018,Company Z182 - Product R,Closed Won,481854.98,69,2024-02-22,2023-12-16,Renewal,Latin America,Rep_12,Partner,
OPP-000088,CUST-000276,PROD-000018,Company P276 - Product R,Negotiation,386380.11,13,2025-10-23,2025-05-06,Upsell,North America,Rep_29,Referral,Competitor C
OPP-000089,CUST-000256,PROD-000008,Company V256 - Product H,Closed Lost,536879.08,50,2025-10-16,2025-09-09,New Business,North America,Rep_50,Partner,Competitor A
OPP-000090,CUST-000754,PROD-000018,Company Z754 - Product R,Negotiation,118266.84,59,2025-06-24,2025-03-02,Renewal,APAC,Rep_26,Referral,
OPP-000091,CUST-000184,PROD-000016,Company B184 - Product P,Closed Won,79271.31,27,2023-11-09,2023-07-12,Renewal,APAC,Rep_7,Partner,Competitor A
OPP-000092,CUST-000833,PROD-000008,Company A833 - Product H,Closed Won,446987.18,92,2024-08-29,2024-07-01,Cross-sell,North America,Rep_16,Referral,
OPP-000093,CUST-000264,PROD-000016,Company D264 - Product P,Prospecting,874307.09,56,2023-03-23,2023-02-10,New Business,EMEA,Rep_39,Referral,Competitor B
OPP-000094,CUST-000308,PROD-000015,Company V308 - Product O,Proposal,598422.19,91,2023-12-11,2023-09-26,Renewal,APAC,Rep_26,Referral,
OPP-000095,CUST-000439,PROD-000001,Company W439 - Product A,Closed Lost,468424.98,16,2024-03-22,2023-12-24,New Business,North America,Rep_43,Sales,
OPP-000096,CUST-000394,PROD-000009,Company D394 - Product I,Prospecting,132256.28,29,2023-11-14,2023-07-20,New Business,North America,Rep_19,Marketing,
OPP-000097,CUST-000270,PROD-000009,Company J270 - Product I,Closed Lost,45767.63,45,2024-04-18,2024-02-05,New Business,APAC,Rep_45,Web,
OPP-000098,CUST-000552,PROD-000016,Company F552 - Product P,Qualification,995508.95,30,2024-03-16,2023-12-19,Upsell,APAC,Rep_6,Web,
OPP-000099,CUST-000045,PROD-000004,Company S45 - Product D,Prospecting,637648.04,12,2023-12-10,2023-08-04,Upsell,North America,Rep_24,Marketing,Competitor A
OPP-000100,CUST-000232,PROD-000005,Company X232 - Product E,Negotiation,642549.27,12,2025-05-15,2025-03-12,Cross-sell,EMEA,Rep_32,Sales,
OPP-000101,CUST-000088,PROD-000005,Company J88 - Product E,Closed Lost,429239.79,43,2025-04-22,2024-10-28,Renewal,APAC,Rep_23,Partner,Competitor B
OPP-000102,CUST-000373,PROD-000012,Company I373 - Product L,Closed Lost,638705.78,13,2024-08-16,2024-04-25,Renewal,North America,Rep_29,Marketing,Competitor C
OPP-000103,CUST-000524,PROD-000017,Company D524 - Product Q,Negotiation,946576.71,86,2024-03-12,2023-11-09,Renewal,APAC,Rep_12,Web,Competitor C
OPP-000104,CUST-000486,PROD-000011,Company R486 - Product K,Closed Lost,386625.12,73,2023-05-14,2023-02-20,Cross-sell,EMEA,Rep_43,Partner,Competitor C
OPP-000105,CUST-000723,PROD-000004,Company U723 - Product D,Proposal,226681.11,52,2025-10-05,2025-08-20,Cross-sell,EMEA,Rep_31,Web,
OPP-000106,CUST-000042,PROD-000013,Company P42 - Product M,Closed Won,975431.29,94,2025-11-20,2025-07-06,Cross-sell,APAC,Rep_41,Referral,Competitor B
OPP-000107,CUST-000227,PROD-000002,Company S227 - Product B,Closed Lost,873855.1,74,2025-02-01,2024-11-13,Cross-sell,EMEA,Rep_4,Referral,Competitor B
OPP-000108,CUST-000897,PROD-000003,Company M897 - Product C,Proposal,658365.0,64,2025-01-17,2024-11-08,Renewal,Latin America,Rep_50,Web,Competitor B
OPP-000109,CUST-000824,PROD-000001,Company R824 - Product A,Negotiation,831571.69,76,2024-07-08,2024-03-20,Upsell,Latin America,Rep_1,Sales,Competitor A
OPP-000110,CUST-000432,PROD-000003,Company P432 - Product C,Closed Lost,813290.0,70,2025-10-01,2025-05-31,Renewal,EMEA,Rep_3,Marketing,
OPP-000111,CUST-000845,PROD-000001,Company M845 - Product A,Closed Won,297820.41,30,2025-11-22,2025-07-11,Upsell,EMEA,Rep_36,Partner,Competitor C
OPP-000112,CUST-000849,PROD-000007,Company Q849 - Product G,Closed Lost,436317.33,86,2024-01-01,2023-09-07,New Business,Latin America,Rep_9,Partner,Competitor A
OPP-000113,CUST-000709,PROD-000018,Company G709 - Product R,Closed Lost,792541.11,50,2025-04-06,2025-02-20,Cross-sell,EMEA,Rep_6,Marketing,
OPP-000114,CUST-000753,PROD-000009,Company Y753 - Product I,Closed Won,276448.53,69,2023-09-09,2023-06-29,New Business,EMEA,Rep_44,Marketing,
OPP-000115,CUST-000970,PROD-000005,Company H970 - Product E,Proposal,180493.18,87,2023-10-09,2023-07-21,New Business,North America,Rep_33,Web,
OPP-000116,CUST-000478,PROD-000015,Company J478 - Product O,Closed Lost,495122.14,28,2023-12-09,2023-08-21,Cross-sell,Latin America,Rep_1,Partner,Competitor A
OPP-000117,CUST-000741,PROD-000014,Company M741 - Product N,Closed Won,926122.36,18,2024-01-20,2023-09-05,Upsell,Latin America,Rep_45,Partner,
OPP-000118,CUST-000745,PROD-000013,Company Q745 - Product M,Prospecting,360803.88,96,2024-02-27,2023-12-26,New Business,APAC,Rep_46,Partner,Competitor C
OPP-000119,CUST-000339,PROD-000004,Company A339 - Product D,Closed Lost,193141.5,81,2023-03-19,2023-01-24,Cross-sell,Latin America,Rep_20,Sales,Competitor C
OPP-000120,CUST-000773,PROD-000017,Company S773 - Product Q,Prospecting,147876.48,69,2023-11-26,2023-08-21,Upsell,North America,Rep_10,Sales,
OPP-000121,CUST-000970,PROD-000012,Company H970 - Product L,Proposal,196209.8,22,2024-11-24,2024-09-27,Upsell,North America,Rep_33,Sales,Competitor C
OPP-000122,CUST-000375,PROD-000006,Company K375 - Product F,Prospecting,282023.52,31,2024-12-22,2024-08-12,Cross-sell,Latin America,Rep_16,Sales,
OPP-000123,CUST-000014,PROD-000001,Company N14 - Product A,Proposal,157497.26,65,2025-08-21,2025-04-16,Upsell,North America,Rep_44,Partner,Competitor A
OPP-000124,CUST-000155,PROD-000009,Company Y155 - Product I,Prospecting,528336.86,73,2025-03-06,2024-12-09,Upsell,Latin America,Rep_21,Referral,Competitor C
OPP-000125,CUST-000097,PROD-000004,Company S97 - Product D,Proposal,348799.3,20,2024-03-28,2023-12-23,Renewal,APAC,Rep_7,Marketing,
OPP-000126,CUST-000404,PROD-000009,Company N404 - Product I,Closed Lost,90013.46,39,2025-08-13,2025-04-23,New Business,North America,Rep_3,Marketing,
OPP-000127,CUST-000399,PROD-000008,Company I399 - Product H,Proposal,350579.83,55,2025-03-02,2024-11-12,Upsell,APAC,Rep_9,Web,Competitor A
OPP-000128,CUST-000790,PROD-000007,Company J790 - Product G,Negotiation,144355.33,33,2026-01-19,2025-08-03,New Business,APAC,Rep_33,Web,
OPP-000129,CUST-000478,PROD-000006,Company J478 - Product F,Qualification,447839.24,59,2023-09-16,2023-07-24,Upsell,Latin America,Rep_1,Marketing,Competitor C
OPP-000130,CUST-000351,PROD-000006,Company M351 - Product F,Negotiation,380806.28,64,2025-07-11,2025-04-30,Renewal,Latin America,Rep_6,Partner,Competitor A
OPP-000131,CUST-000916,PROD-000015,Company F916 - Product O,Negotiation,38459.88,42,2023-12-08,2023-06-27,New Business,EMEA,Rep_10,Referral,
OPP-000132,CUST-000900,PROD-000018,Company P900 - Product R,Qualification,23974.45,89,2024-03-22,2024-02-06,Renewal,Latin America,Rep_23,Referral,Competitor B
OPP-000133,CUST-000382,PROD-000005,Company R382 - Product E,Closed Won,833935.5,40,2023-05-01,2023-03-27,Upsell,APAC,Rep_14,Referral,
OPP-000134,CUST-000018,PROD-000009,Company R18 - Product I,Prospecting,441468.33,73,2024-01-25,2023-12-11,Cross-sell,EMEA,Rep_34,Partner,Competitor A
OPP-000135,CUST-000133,PROD-000004,Company C133 - Product D,Proposal,723892.54,85,2025-06-16,2024-12-30,Upsell,EMEA,Rep_3,Sales,
OPP-000136,CUST-000984,PROD-000008,Company V984 - Product H,Qualification,679931.78,22,2024-06-09,2024-03-27,Upsell,Latin America,Rep_42,Partner,Competitor B
OPP-000137,CUST-000714,PROD-000013,Company L714 - Product M,Closed Won,920560.25,77,2025-06-05,2025-04-27,Cross-sell,Latin America,Rep_9,Referral,Competitor C
OPP-000138,CUST-000601,PROD-000010,Company C601 - Product J,Prospecting,660994.99,93,2025-07-27,2025-05-20,New Business,Latin America,Rep_28,Sales,Competitor C
OPP-000139,CUST-000759,PROD-000008,Company E759 - Product H,Qualification,406730.48,56,2024-10-25,2024-09-14,Upsell,North America,Rep_32,Referral,Competitor B
OPP-000140,CUST-000064,PROD-000013,Company L64 - Product M,Closed Lost,245170.97,41,2025-06-18,2025-03-15,Upsell,EMEA,Rep_47,Web,Competitor C
OPP-000141,CUST-000253,PROD-000018,Company S253 - Product R,Proposal,447147.78,69,2025-05-12,2025-02-24,New Business,APAC,Rep_23,Marketing,Competitor C
OPP-000142,CUST-000796,PROD-000008,Company P796 - Product H,Closed Won,34040.03,46,2024-01-31,2023-10-27,Upsell,EMEA,Rep_38,Marketing,
OPP-000143,CUST-000420,PROD-000014,Company D420 - Product N,Closed Lost,211092.04,48,2025-08-22,2025-05-21,Renewal,EMEA,Rep_12,Referral,Competitor C
OPP-000144,CUST-000925,PROD-000006,Company O925 - Product F,Prospecting,887732.65,97,2023-10-28,2023-08-19,Renewal,Latin America,Rep_10,Web,Competitor A
OPP-000145,CUST-000709,PROD-000003,Company G709 - Product C,Closed Lost,116131.03,12,2025-04-08,2024-11-25,Upsell,EMEA,Rep_6,Referral,Competitor A
OPP-000146,CUST-000882,PROD-000018,Company X882 - Product R,Closed Lost,936766.36,87,2025-10-30,2025-08-29,Renewal,EMEA,Rep_12,Partner,Competitor A
OPP-000147,CUST-000437,PROD-000013,Company U437 - Product M,Negotiation,221493.17,30,2025-12-27,2025-07-20,New Business,EMEA,Rep_19,Web,Competitor B
OPP-000148,CUST-000033,PROD-000017,Company G33 - Product Q,Closed Won,92547.41,16,2025-05-09,2024-12-02,Renewal,EMEA,Rep_38,Sales,
OPP-000149,CUST-000280,PROD-000006,Company T280 - Product F,Qualification,106970.72,80,2023-09-10,2023-06-09,Renewal,APAC,Rep_47,Referral,Competitor A
OPP-000150,CUST-000339,PROD-000005,Company A339 - Product E,Proposal,448227.05,96,2025-08-10,2025-03-16,Renewal,Latin America,Rep_20,Web,Competitor A
OPP-000151,CUST-000492,PROD-000012,Company X492 - Product L,Prospecting,365395.01,82,2025-08-10,2025-03-02,Renewal,APAC,Rep_12,Web,Competitor A
OPP-000152,CUST-000588,PROD-000016,Company P588 - Product P,Closed Lost,299097.34,86,2024-05-17,2024-03-28,Cross-sell,Latin America,Rep_34,Sales,Competitor A
OPP-000153,CUST-000911,PROD-000008,Company A911 - Product H,Proposal,324618.06,11,2023-12-02,2023-09-18,New Business,Latin America,Rep_17,Sales,
OPP-000154,CUST-000439,PROD-000012,Company W439 - Product L,Closed Won,251595.46,73,2025-07-21,2025-01-30,New Business,North America,Rep_43,Sales,Competitor C
OPP-000155,CUST-000090,PROD-000017,Company L90 - Product Q,Proposal,881692.78,31,2025-02-02,2024-10-15,Renewal,APAC,Rep_31,Web,
OPP-000156,CUST-000831,PROD-000007,Company Y831 - Product G,Qualification,652088.28,16,2023-05-28,2023-02-18,New Business,EMEA,Rep_44,Referral,Competitor B
OPP-000157,CUST-000149,PROD-000002,Company S149 - Product B,Negotiation,687995.66,68,2024-02-03,2023-10-07,Cross-sell,North America,Rep_5,Marketing,
OPP-000158,CUST-000129,PROD-000011,Company Y129 - Product K,Closed Lost,154733.7,64,2025-06-15,2024-12-29,New Business,APAC,Rep_13,Marketing,Competitor A
OPP-000159,CUST-000567,PROD-000012,Company U567 - Product L,Qualification,831803.46,95,2025-08-30,2025-06-28,Renewal,North America,Rep_12,Sales,Competitor A
OPP-000160,CUST-000361,PROD-000009,Company W361 - Product I,Proposal,109127.4,41,2023-05-31,2023-02-19,Renewal,EMEA,Rep_5,Marketing,Competitor A
OPP-000161,CUST-000340,PROD-000005,Company B340 - Product E,Proposal,168086.25,10,2024-09-05,2024-07-12,Upsell,North America,Rep_48,Referral,
OPP-000162,CUST-000010,PROD-000005,Company J10 - Product E,Proposal,798133.29,32,2023-07-31,2023-06-23,Upsell,APAC,Rep_50,Marketing,
OPP-000163,CUST-000122,PROD-000003,Company R122 - Product C,Prospecting,726428.18,91,2024-11-01,2024-06-19,Upsell,APAC,Rep_41,Web,Competitor A
OPP-000164,CUST-000294,PROD-000012,Company H294 - Product L,Closed Won,569686.88,95,2023-10-23,2023-09-01,Renewal,APAC,Rep_44,Sales,
OPP-000165,CUST-000063,PROD-000001,Company K63 - Product A,Prospecting,471198.07,75,2024-12-23,2024-09-06,Renewal,Latin America,Rep_16,Web,
OPP-000166,CUST-000912,PROD-000012,Company B912 - Product L,Prospecting,52314.33,55,2023-09-09,2023-07-08,New Business,EMEA,Rep_43,Partner,Competitor A
OPP-000167,CUST-000549,PROD-000003,Company C549 - Product C,Prospecting,966858.36,11,2025-08-03,2025-03-10,New Business,Latin America,Rep_24,Web,Competitor B
OPP-000168,CUST-000212,PROD-000009,Company D212 - Product I,Closed Won,371532.01,13,2024-03-17,2023-10-03,Cross-sell,Latin America,Rep_21,Marketing,Competitor B
OPP-000169,CUST-000253,PROD-000010,Company S253 - Product J,Negotiation,16355.56,57,2023-09-29,2023-08-10,New Business,APAC,Rep_23,Referral,Competitor A
OPP-000170,CUST-000974,PROD-000011,Company L974 - Product K,Proposal,800562.06,48,2025-01-29,2024-09-29,Cross-sell,EMEA,Rep_44,Partner,
